project,snapshot,date,cyclic_module
MenuCal,MenuCal_backup_20251227,2025-12-27,MenuCal/MenuCal_backup_20251227/Features/AutoDetection
MenuCal,MenuCal_backup_20251227,2025-12-27,MenuCal/MenuCal_backup_20251227/Features/Barcode
MenuCal,MenuCal_backup_20251227,2025-12-27,MenuCal/MenuCal_backup_20251227/Features/DishCalorie
MenuCal,MenuCal_backup_20251227,2025-12-27,MenuCal/MenuCal_backup_20251227/Features/Favorite
MenuCal,MenuCal_backup_20251227,2025-12-27,MenuCal/MenuCal_backup_20251227/Features/FindRetaurants
MenuCal,MenuCal_backup_20251227,2025-12-27,MenuCal/MenuCal_backup_20251227/Features/FoodNews
MenuCal,MenuCal_backup_20251227,2025-12-27,MenuCal/MenuCal_backup_20251227/Features/FoodPhoto
MenuCal,MenuCal_backup_20251227,2025-12-27,MenuCal/MenuCal_backup_20251227/Features/Games
MenuCal,MenuCal_backup_20251227,2025-12-27,MenuCal/MenuCal_backup_20251227/Features/History
MenuCal,MenuCal_backup_20251227,2025-12-27,MenuCal/MenuCal_backup_20251227/Features/MenuScan
MenuCal,MenuCal_backup_20251227,2025-12-27,MenuCal/MenuCal_backup_20251227/Features/Preferences
MenuCal,MenuCal_backup_20251227,2025-12-27,MenuCal/MenuCal_backup_20251227/Features/Recipes
MenuCal,MenuCal_backup_20251227,2025-12-27,MenuCal/MenuCal_backup_20251227/Features/Recipes/RecipeDetail
MenuCal,MenuCal_backup_20251227,2025-12-27,MenuCal/MenuCal_backup_20251227/Features/Recipes/RecipeGrid
MenuCal,MenuCal_backup_20251227,2025-12-27,MenuCal/MenuCal_backup_20251227/Features/Recipes/RecipeGrid/MyRecipe
MenuCal,MenuCal_backup_20251227,2025-12-27,MenuCal/MenuCal_backup_20251227/Features/Recipes/Search
MenuCal,MenuCal_backup_20251227,2025-12-27,MenuCal/MenuCal_backup_20251227/Features/Setting
MenuCal,MenuCal_backup_20251228,2025-12-28,MenuCal/MenuCal_backup_20251228/App
